,lemmatized_title,lemmatized_body
0,"(0, '0.024*""google"" + 0.021*""play"" + 0.019*""user"" + 0.018*""policy""')","(0, '0.021*""app"" + 0.016*""google"" + 0.012*""user"" + 0.010*""play""')"
1,"(1, '0.017*""consent"" + 0.017*""google"" + 0.013*""app"" + 0.012*""call""')","(1, '0.026*""android"" + 0.015*""app"" + 0.013*""google"" + 0.012*""val""')"
2,"(2, '0.029*""android"" + 0.018*""google"" + 0.013*""need"" + 0.012*""view""')","(2, '0.016*""private"" + 0.012*""result"" + 0.011*""http"" + 0.011*""val""')"
3,"(3, '0.020*""data"" + 0.020*""private"" + 0.020*""gdpr"" + 0.020*""app""')","(3, '0.018*""string"" + 0.017*""user"" + 0.015*""public"" + 0.013*""name""')"
4,"(4, '0.026*""activity"" + 0.026*""layout"" + 0.019*""programmatically"" + 0.019*""way""')","(4, '0.016*""string"" + 0.014*""value"" + 0.014*""categoryselect"" + 0.010*""private""')"
5,"(5, '0.032*""practice"" + 0.032*""use"" + 0.027*""viewmodel"" + 0.027*""livedata""')","(5, '0.024*""reminder"" + 0.016*""fun"" + 0.015*""val"" + 0.014*""private""')"
6,"(6, '0.053*""app"" + 0.044*""privacy"" + 0.041*""policy"" + 0.026*""android""')","(6, '0.025*""android"" + 0.020*""val"" + 0.017*""app"" + 0.015*""fun""')"
7,"(7, '0.024*""database"" + 0.019*""room"" + 0.019*""make"" + 0.017*""firebase""')","(7, '0.020*""private"" + 0.018*""public"" + 0.015*""val"" + 0.015*""x200b""')"
8,"(8, '0.023*""android"" + 0.017*""google"" + 0.012*""implement"" + 0.012*""exception""')","(8, '0.041*""context"" + 0.025*""attrs"" + 0.021*""android"" + 0.017*""private""')"
9,"(9, '0.044*""gdpr"" + 0.018*""app"" + 0.018*""dialog"" + 0.018*""apps""')","(9, '0.017*""app"" + 0.015*""private"" + 0.013*""float"" + 0.009*""google""')"
