,lemmatized_title,lemmatized_body
0,"(0, '0.018*""app"" + 0.016*""module"" + 0.016*""google"" + 0.013*""good""')","(0, '0.018*""string"" + 0.017*""private"" + 0.017*""public"" + 0.015*""question""')"
1,"(1, '0.043*""app"" + 0.018*""get"" + 0.014*""anyone"" + 0.014*""android""')","(1, '0.020*""fun"" + 0.020*""val"" + 0.016*""reminder"" + 0.013*""private""')"
2,"(2, '0.047*""privacy"" + 0.042*""need"" + 0.042*""policy"" + 0.030*""help""')","(2, '0.027*""app"" + 0.013*""user"" + 0.012*""policy"" + 0.011*""google""')"
3,"(3, '0.042*""app"" + 0.021*""private"" + 0.017*""data"" + 0.013*""android""')","(3, '0.027*""user"" + 0.013*""post"" + 0.010*""like"" + 0.008*""app""')"
4,"(4, '0.070*""gdpr"" + 0.022*""user"" + 0.020*""apps"" + 0.019*""firebase""')","(4, '0.022*""google"" + 0.019*""http"" + 0.016*""app"" + 0.012*""apps""')"
5,"(5, '0.033*""gdpr"" + 0.020*""consent"" + 0.020*""apps"" + 0.018*""best""')","(5, '0.020*""google"" + 0.013*""app"" + 0.011*""apps"" + 0.011*""http""')"
6,"(6, '0.032*""android"" + 0.023*""activity"" + 0.014*""app"" + 0.014*""kotlin""')","(6, '0.012*""activity"" + 0.011*""private"" + 0.011*""new"" + 0.010*""public""')"
7,"(7, '0.017*""private"" + 0.017*""creating"" + 0.012*""using"" + 0.012*""type""')","(7, '0.020*""result"" + 0.016*""thread"" + 0.015*""val"" + 0.012*""suspend""')"
8,"(8, '0.053*""android"" + 0.029*""private"" + 0.022*""app"" + 0.017*""apps""')","(8, '0.017*""private"" + 0.011*""user"" + 0.011*""public"" + 0.009*""new""')"
9,"(9, '0.022*""google"" + 0.022*""gdpr"" + 0.016*""privacy"" + 0.013*""data""')","(9, '0.032*""android"" + 0.020*""private"" + 0.017*""view"" + 0.016*""app""')"
