,lemmatized_title,lemmatized_body
0,"(0, '0.035*""google"" + 0.030*""app"" + 0.021*""help"" + 0.014*""play""')","(0, '0.034*""android"" + 0.031*""http"" + 0.028*""job"" + 0.019*""company""')"
1,"(1, '0.063*""app"" + 0.026*""android"" + 0.013*""google"" + 0.013*""using""')","(1, '0.037*""public"" + 0.022*""void"" + 0.019*""override"" + 0.018*""string""')"
2,"(2, '0.021*""camera"" + 0.021*""android"" + 0.018*""make"" + 0.011*""guide""')","(2, '0.017*""google"" + 0.012*""game"" + 0.011*""user"" + 0.009*""app""')"
3,"(3, '0.140*""thread"" + 0.138*""hiring"" + 0.138*""weekly"" + 0.010*""guide""')","(3, '0.012*""android"" + 0.009*""data"" + 0.009*""user"" + 0.009*""app""')"
4,"(4, '0.030*""best"" + 0.027*""location"" + 0.023*""android"" + 0.013*""way""')","(4, '0.021*""android"" + 0.010*""file"" + 0.009*""http"" + 0.007*""fragment""')"
5,"(5, '0.019*""data"" + 0.016*""app"" + 0.013*""gdpr"" + 0.012*""help""')","(5, '0.023*""removed"" + 0.014*""android"" + 0.010*""app"" + 0.009*""compile""')"
6,"(6, '0.032*""android"" + 0.022*""policy"" + 0.021*""app"" + 0.021*""user""')","(6, '0.011*""string"" + 0.009*""new"" + 0.008*""http"" + 0.006*""data""')"
7,"(7, '0.054*""android"" + 0.035*""app"" + 0.013*""question"" + 0.010*""google""')","(7, '0.031*""app"" + 0.013*""would"" + 0.011*""android"" + 0.010*""user""')"
8,"(8, '0.032*""android"" + 0.025*""help"" + 0.018*""use"" + 0.013*""need""')","(8, '0.014*""new"" + 0.012*""private"" + 0.011*""int"" + 0.008*""file""')"
9,"(9, '0.066*""android"" + 0.030*""app"" + 0.011*""guide"" + 0.010*""apps""')","(9, '0.011*""android"" + 0.008*""app"" + 0.008*""know"" + 0.008*""would""')"
