,lemmatized_title,lemmatized_body
0,"(0, '0.044*""android"" + 0.030*""using"" + 0.030*""app"" + 0.030*""private""')","(0, '0.022*""app"" + 0.015*""file"" + 0.014*""time"" + 0.011*""user""')"
1,"(1, '0.033*""google"" + 0.033*""android"" + 0.033*""private"" + 0.017*""keystore""')","(1, '0.053*""import"" + 0.031*""android"" + 0.021*""public"" + 0.020*""context""')"
2,"(2, '0.020*""code"" + 0.020*""anyone"" + 0.020*""source"" + 0.020*""user""')","(2, '0.067*""android"" + 0.027*""app"" + 0.024*""user"" + 0.011*""want""')"
3,"(3, '0.027*""private"" + 0.027*""rxjava"" + 0.027*""android"" + 0.027*""new""')","(3, '0.023*""would"" + 0.014*""private"" + 0.009*""think"" + 0.009*""data""')"
4,"(4, '0.019*""using"" + 0.019*""repo"" + 0.019*""developer"" + 0.019*""apps""')","(4, '0.019*""app"" + 0.013*""list"" + 0.013*""object"" + 0.011*""private""')"
5,"(5, '0.038*""help"" + 0.026*""need"" + 0.026*""crash"" + 0.026*""app""')","(5, '0.015*""box"" + 0.015*""account"" + 0.012*""address"" + 0.012*""page""')"
6,"(6, '0.058*""policy"" + 0.058*""privacy"" + 0.017*""library"" + 0.017*""anyone""')","(6, '0.030*""public"" + 0.018*""override"" + 0.017*""new"" + 0.016*""void""')"
7,"(7, '0.033*""help"" + 0.018*""callback"" + 0.018*""good"" + 0.018*""memory""')","(7, '0.015*""int"" + 0.013*""need"" + 0.010*""private"" + 0.009*""myrs""')"
8,"(8, '0.042*""help"" + 0.042*""listview"" + 0.042*""widget"" + 0.022*""care""')","(8, '0.020*""private"" + 0.019*""new"" + 0.015*""public"" + 0.015*""answer""')"
9,"(9, '0.046*""app"" + 0.046*""item"" + 0.031*""privacy"" + 0.031*""order""')","(9, '0.025*""position"" + 0.022*""public"" + 0.021*""new"" + 0.020*""view""')"
