,lemmatized_title,lemmatized_body
0,"(0, '0.046*""app"" + 0.026*""gdpr"" + 0.014*""using"" + 0.013*""apps""')","(0, '0.019*""google"" + 0.012*""removed"" + 0.012*""user"" + 0.009*""play""')"
1,"(1, '0.043*""private"" + 0.038*""app"" + 0.025*""android"" + 0.022*""use""')","(1, '0.011*""public"" + 0.011*""private"" + 0.009*""result"" + 0.009*""new""')"
2,"(2, '0.026*""android"" + 0.019*""data"" + 0.019*""developer"" + 0.018*""apps""')","(2, '0.029*""android"" + 0.008*""friend"" + 0.007*""http"" + 0.006*""code""')"
3,"(3, '0.096*""privacy"" + 0.094*""policy"" + 0.032*""need"" + 0.025*""help""')","(3, '0.031*""google"" + 0.018*""apps"" + 0.015*""developer"" + 0.013*""app""')"
4,"(4, '0.019*""livedata"" + 0.016*""viewmodel"" + 0.016*""view"" + 0.015*""use""')","(4, '0.015*""fragment"" + 0.013*""fun"" + 0.013*""val"" + 0.012*""private""')"
5,"(5, '0.040*""gdpr"" + 0.021*""consent"" + 0.019*""google"" + 0.019*""firebase""')","(5, '0.014*""public"" + 0.014*""user"" + 0.012*""class"" + 0.011*""activity""')"
6,"(6, '0.026*""gdpr"" + 0.020*""user"" + 0.016*""need"" + 0.015*""consent""')","(6, '0.073*""android"" + 0.023*""context"" + 0.022*""app"" + 0.015*""attrs""')"
7,"(7, '0.026*""gdpr"" + 0.015*""using"" + 0.011*""android"" + 0.011*""data""')","(7, '0.025*""private"" + 0.021*""public"" + 0.019*""string"" + 0.017*""import""')"
8,"(8, '0.017*""android"" + 0.014*""best"" + 0.014*""know"" + 0.014*""error""')","(8, '0.018*""val"" + 0.015*""class"" + 0.014*""private"" + 0.014*""string""')"
9,"(9, '0.025*""help"" + 0.024*""app"" + 0.015*""gdpr"" + 0.015*""android""')","(9, '0.029*""app"" + 0.015*""user"" + 0.012*""http"" + 0.010*""google""')"
