,lemmatized_title,lemmatized_body
0,"(0, '0.025*""apple"" + 0.017*""apps"" + 0.017*""device"" + 0.017*""help""')","(0, '0.026*""let"" + 0.017*""var"" + 0.014*""data"" + 0.013*""x200b""')"
1,"(1, '0.029*""private"" + 0.029*""data"" + 0.019*""view"" + 0.019*""good""')","(1, '0.037*""app"" + 0.015*""privacy"" + 0.011*""would"" + 0.009*""apple""')"
2,"(2, '0.023*""way"" + 0.018*""app"" + 0.017*""view"" + 0.017*""variable""')","(2, '0.028*""view"" + 0.016*""var"" + 0.014*""private"" + 0.012*""text""')"
3,"(3, '0.028*""private"" + 0.028*""data"" + 0.019*""camera"" + 0.019*""without""')","(3, '0.017*""app"" + 0.016*""view"" + 0.013*""information"" + 0.012*""government""')"
4,"(4, '0.036*""way"" + 0.031*""know"" + 0.031*""file"" + 0.026*""using""')","(4, '0.041*""true"" + 0.034*""let"" + 0.028*""equalto"" + 0.019*""var""')"
5,"(5, '0.043*""swiftui"" + 0.015*""website"" + 0.015*""crash"" + 0.015*""apps""')","(5, '0.017*""category"" + 0.014*""func"" + 0.013*""let"" + 0.013*""var""')"
6,"(6, '0.031*""app"" + 0.016*""view"" + 0.016*""class"" + 0.016*""test""')","(6, '0.021*""data"" + 0.016*""let"" + 0.013*""func"" + 0.012*""error""')"
7,"(7, '0.023*""make"" + 0.023*""swift"" + 0.015*""github"" + 0.015*""question""')","(7, '0.028*""let"" + 0.018*""view"" + 0.017*""private"" + 0.016*""var""')"
8,"(8, '0.043*""io"" + 0.041*""app"" + 0.029*""privacy"" + 0.027*""apps""')","(8, '0.018*""let"" + 0.014*""data"" + 0.013*""context"" + 0.011*""stream""')"
9,"(9, '0.074*""privacy"" + 0.058*""policy"" + 0.055*""app"" + 0.028*""data""')","(9, '0.047*""let"" + 0.034*""return"" + 0.026*""else"" + 0.019*""guard""')"
