,lemmatized_title,lemmatized_body
0,"(0, '0.023*""one"" + 0.023*""context"" + 0.022*""make"" + 0.022*""anyone""')","(0, '0.055*""let"" + 0.037*""true"" + 0.026*""equalto"" + 0.016*""return""')"
1,"(1, '0.110*""privacy"" + 0.082*""policy"" + 0.036*""data"" + 0.029*""app""')","(1, '0.016*""app"" + 0.016*""var"" + 0.016*""view"" + 0.012*""category""')"
2,"(2, '0.038*""using"" + 0.028*""file"" + 0.024*""app"" + 0.024*""way""')","(2, '0.043*""let"" + 0.032*""return"" + 0.024*""else"" + 0.020*""self""')"
3,"(3, '0.037*""private"" + 0.015*""apple"" + 0.015*""api"" + 0.015*""apps""')","(3, '0.021*""x200b"" + 0.015*""let"" + 0.008*""func"" + 0.008*""print""')"
4,"(4, '0.064*""app"" + 0.023*""view"" + 0.014*""need"" + 0.014*""store""')","(4, '0.029*""let"" + 0.029*""data"" + 0.009*""var"" + 0.008*""class""')"
5,"(5, '0.029*""app"" + 0.026*""way"" + 0.026*""anyone"" + 0.016*""class""')","(5, '0.012*""view"" + 0.010*""controller"" + 0.010*""using"" + 0.010*""video""')"
6,"(6, '0.044*""view"" + 0.037*""controller"" + 0.025*""variable"" + 0.024*""app""')","(6, '0.019*""var"" + 0.019*""let"" + 0.012*""private"" + 0.011*""return""')"
7,"(7, '0.021*""app"" + 0.014*""user"" + 0.014*""use"" + 0.014*""website""')","(7, '0.016*""view"" + 0.013*""app"" + 0.012*""would"" + 0.010*""need""')"
8,"(8, '0.017*""apps"" + 0.017*""private"" + 0.017*""service"" + 0.017*""crash""')","(8, '0.036*""app"" + 0.021*""privacy"" + 0.018*""data"" + 0.011*""policy""')"
9,"(9, '0.030*""app"" + 0.020*""question"" + 0.015*""admob"" + 0.013*""privacy""')","(9, '0.021*""app"" + 0.014*""information"" + 0.011*""government"" + 0.010*""string""')"
