,lemmatized_title,lemmatized_body
0,"(0, '0.047*""app"" + 0.024*""data"" + 0.020*""private"" + 0.012*""context""')","(0, '0.018*""view"" + 0.015*""data"" + 0.011*""app"" + 0.010*""var""')"
1,"(1, '0.039*""app"" + 0.030*""way"" + 0.019*""get"" + 0.018*""view""')","(1, '0.020*""app"" + 0.012*""method"" + 0.012*""var"" + 0.012*""private""')"
2,"(2, '0.014*""private"" + 0.014*""anyone"" + 0.014*""framework"" + 0.014*""crash""')","(2, '0.025*""true"" + 0.022*""let"" + 0.018*""equalto"" + 0.014*""private""')"
3,"(3, '0.019*""multiple"" + 0.019*""using"" + 0.013*""io"" + 0.013*""data""')","(3, '0.036*""app"" + 0.015*""user"" + 0.011*""would"" + 0.010*""store""')"
4,"(4, '0.024*""privacy"" + 0.018*""apple"" + 0.012*""private"" + 0.012*""api""')","(4, '0.055*""let"" + 0.026*""return"" + 0.023*""else"" + 0.017*""self""')"
5,"(5, '0.023*""use"" + 0.022*""app"" + 0.020*""privacy"" + 0.016*""analytics""')","(5, '0.017*""private"" + 0.017*""data"" + 0.012*""var"" + 0.011*""let""')"
6,"(6, '0.038*""app"" + 0.021*""private"" + 0.017*""io"" + 0.017*""store""')","(6, '0.009*""privacy"" + 0.009*""use"" + 0.008*""want"" + 0.007*""advertising""')"
7,"(7, '0.082*""privacy"" + 0.075*""policy"" + 0.038*""data"" + 0.026*""app""')","(7, '0.032*""let"" + 0.020*""func"" + 0.018*""x200b"" + 0.015*""return""')"
8,"(8, '0.024*""view"" + 0.018*""use"" + 0.018*""work"" + 0.018*""swiftui""')","(8, '0.023*""view"" + 0.018*""var"" + 0.013*""let"" + 0.009*""app""')"
9,"(9, '0.028*""way"" + 0.024*""using"" + 0.021*""private"" + 0.019*""app""')","(9, '0.020*""app"" + 0.015*""private"" + 0.012*""context"" + 0.010*""http""')"
