,lemmatized_title,lemmatized_body
0,"(0, '0.061*""app"" + 0.025*""guide"" + 0.025*""development"" + 0.025*""time""')","(0, '0.017*""need"" + 0.017*""item"" + 0.010*""one"" + 0.010*""know""')"
1,"(1, '0.032*""io"" + 0.032*""app"" + 0.022*""rejection"" + 0.022*""create""')","(1, '0.030*""app"" + 0.015*""game"" + 0.013*""would"" + 0.011*""io""')"
2,"(2, '0.045*""guide"" + 0.034*""mobile"" + 0.030*""apps"" + 0.023*""voice""')","(2, '0.012*""guide"" + 0.012*""idea"" + 0.012*""deleted"" + 0.012*""application""')"
3,"(3, '0.039*""io"" + 0.030*""development"" + 0.030*""device"" + 0.030*""number""')","(3, '0.014*""code"" + 0.012*""sdk"" + 0.009*""location"" + 0.009*""one""')"
4,"(4, '0.075*""app"" + 0.029*""io"" + 0.029*""mobile"" + 0.020*""background""')","(4, '0.011*""button"" + 0.011*""var"" + 0.011*""func"" + 0.008*""let""')"
5,"(5, '0.026*""camera"" + 0.026*""make"" + 0.026*""app"" + 0.026*""io""')","(5, '0.039*""app"" + 0.012*""apps"" + 0.011*""review"" + 0.009*""apple""')"
6,"(6, '0.065*""app"" + 0.047*""store"" + 0.038*""io"" + 0.019*""know""')","(6, '0.013*""http"" + 0.010*""like"" + 0.009*""guide"" + 0.008*""app""')"
7,"(7, '0.042*""guide"" + 0.028*""apps"" + 0.028*""apple"" + 0.028*""guideline""')","(7, '0.016*""app"" + 0.015*""want"" + 0.015*""camera"" + 0.014*""io""')"
8,"(8, '0.027*""anyone"" + 0.027*""swift"" + 0.014*""know"" + 0.014*""question""')","(8, '0.038*""app"" + 0.023*""user"" + 0.014*""location"" + 0.012*""apple""')"
9,"(9, '0.037*""user"" + 0.037*""camera"" + 0.019*""using"" + 0.019*""possible""')","(9, '0.016*""app"" + 0.015*""io"" + 0.012*""new"" + 0.010*""would""')"
