,lemmatized_title,lemmatized_body
0,"(0, '0.049*""website"" + 0.020*""gdpr"" + 0.015*""create"" + 0.012*""access""')","(0, '0.011*""user"" + 0.010*""would"" + 0.010*""client"" + 0.009*""email""')"
1,"(1, '0.034*""private"" + 0.027*""best"" + 0.020*""help"" + 0.020*""user""')","(1, '0.015*""user"" + 0.011*""web"" + 0.010*""private"" + 0.009*""server""')"
2,"(2, '0.066*""private"" + 0.038*""website"" + 0.023*""gdpr"" + 0.015*""project""')","(2, '0.011*""removed"" + 0.011*""use"" + 0.010*""string"" + 0.008*""privacy""')"
3,"(3, '0.042*""use"" + 0.019*""private"" + 0.015*""server"" + 0.015*""github""')","(3, '0.014*""like"" + 0.013*""would"" + 0.012*""website"" + 0.009*""private""')"
4,"(4, '0.046*""gdpr"" + 0.021*""client"" + 0.017*""user"" + 0.017*""data""')","(4, '0.018*""token"" + 0.012*""user"" + 0.010*""session"" + 0.009*""jwts""')"
5,"(5, '0.058*""privacy"" + 0.035*""policy"" + 0.016*""find"" + 0.013*""website""')","(5, '0.014*""server"" + 0.013*""http"" + 0.012*""private"" + 0.008*""work""')"
6,"(6, '0.033*""private"" + 0.023*""website"" + 0.017*""domain"" + 0.016*""key""')","(6, '0.013*""page"" + 0.012*""user"" + 0.010*""would"" + 0.008*""website""')"
7,"(7, '0.020*""domain"" + 0.018*""private"" + 0.014*""best"" + 0.014*""update""')","(7, '0.018*""user"" + 0.016*""remote"" + 0.015*""website"" + 0.010*""would""')"
8,"(8, '0.028*""good"" + 0.021*""would"" + 0.017*""privacy"" + 0.012*""user""')","(8, '0.013*""end"" + 0.012*""user"" + 0.012*""http"" + 0.010*""deleted""')"
9,"(9, '0.020*""website"" + 0.016*""web"" + 0.012*""alternative"" + 0.012*""make""')","(9, '0.012*""http"" + 0.011*""domain"" + 0.008*""namecheap"" + 0.008*""x200b""')"
