,lemmatized_title,lemmatized_body
0,"(0, '0.023*""project"" + 0.019*""gdpr"" + 0.017*""web"" + 0.013*""app""')","(0, '0.012*""would"" + 0.012*""user"" + 0.011*""like"" + 0.010*""end""')"
1,"(1, '0.049*""privacy"" + 0.020*""cookie"" + 0.017*""consent"" + 0.017*""gdpr""')","(1, '0.011*""website"" + 0.008*""remote"" + 0.008*""private"" + 0.008*""web""')"
2,"(2, '0.040*""website"" + 0.022*""web"" + 0.021*""privacy"" + 0.018*""private""')","(2, '0.021*""token"" + 0.010*""api"" + 0.010*""http"" + 0.010*""session""')"
3,"(3, '0.026*""domain"" + 0.017*""privacy"" + 0.015*""information"" + 0.012*""gdpr""')","(3, '0.011*""http"" + 0.010*""team"" + 0.008*""website"" + 0.008*""private""')"
4,"(4, '0.022*""use"" + 0.018*""server"" + 0.016*""would"" + 0.015*""user""')","(4, '0.010*""user"" + 0.010*""would"" + 0.009*""want"" + 0.009*""like""')"
5,"(5, '0.035*""gdpr"" + 0.022*""website"" + 0.019*""best"" + 0.018*""make""')","(5, '0.023*""domain"" + 0.016*""know"" + 0.009*""namecheap"" + 0.009*""http""')"
6,"(6, '0.045*""private"" + 0.020*""data"" + 0.020*""gdpr"" + 0.014*""use""')","(6, '0.020*""user"" + 0.010*""data"" + 0.009*""like"" + 0.009*""want""')"
7,"(7, '0.045*""private"" + 0.020*""github"" + 0.018*""api"" + 0.015*""package""')","(7, '0.017*""string"" + 0.011*""0"" + 0.009*""user"" + 0.008*""would""')"
8,"(8, '0.049*""website"" + 0.019*""private"" + 0.014*""client"" + 0.012*""image""')","(8, '0.016*""like"" + 0.014*""user"" + 0.014*""would"" + 0.009*""use""')"
9,"(9, '0.045*""private"" + 0.028*""domain"" + 0.017*""would"" + 0.016*""public""')","(9, '0.010*""use"" + 0.010*""private"" + 0.010*""page"" + 0.009*""like""')"
