,lemmatized_title,lemmatized_body
0,"(0, '0.049*""private"" + 0.025*""make"" + 0.015*""small"" + 0.015*""would""')","(0, '0.016*""like"" + 0.015*""would"" + 0.011*""use"" + 0.011*""private""')"
1,"(1, '0.024*""site"" + 0.024*""management"" + 0.019*""private"" + 0.015*""website""')","(1, '0.011*""private"" + 0.009*""time"" + 0.008*""user"" + 0.007*""site""')"
2,"(2, '0.026*""method"" + 0.021*""user"" + 0.016*""data"" + 0.016*""project""')","(2, '0.016*""site"" + 0.016*""need"" + 0.012*""private"" + 0.011*""want""')"
3,"(3, '0.036*""private"" + 0.031*""api"" + 0.031*""use"" + 0.018*""web""')","(3, '0.016*""like"" + 0.011*""user"" + 0.011*""want"" + 0.010*""site""')"
4,"(4, '0.020*""privacy"" + 0.013*""best"" + 0.013*""way"" + 0.013*""analytics""')","(4, '0.012*""like"" + 0.009*""would"" + 0.009*""project"" + 0.009*""use""')"
5,"(5, '0.031*""gdpr"" + 0.021*""private"" + 0.021*""file"" + 0.016*""app""')","(5, '0.011*""would"" + 0.010*""expires"" + 0.009*""new"" + 0.008*""image""')"
6,"(6, '0.025*""website"" + 0.020*""way"" + 0.020*""question"" + 0.015*""best""')","(6, '0.013*""user"" + 0.009*""private"" + 0.009*""data"" + 0.008*""web""')"
7,"(7, '0.054*""privacy"" + 0.033*""policy"" + 0.028*""project"" + 0.023*""need""')","(7, '0.021*""amazon"" + 0.017*""service"" + 0.015*""cloud"" + 0.014*""aws""')"
8,"(8, '0.028*""domain"" + 0.020*""private"" + 0.015*""work"" + 0.015*""alternative""')","(8, '0.012*""private"" + 0.011*""use"" + 0.009*""site"" + 0.009*""root""')"
9,"(9, '0.026*""privacy"" + 0.016*""website"" + 0.016*""anyone"" + 0.011*""project""')","(9, '0.017*""user"" + 0.009*""like"" + 0.008*""work"" + 0.008*""would""')"
