,lemmatized_title,lemmatized_body
0,"(0, '0.036*""project"" + 0.019*""database"" + 0.019*""site"" + 0.019*""make""')","(0, '0.017*""site"" + 0.011*""website"" + 0.009*""http"" + 0.009*""email""')"
1,"(1, '0.029*""domain"" + 0.029*""project"" + 0.020*""use"" + 0.020*""need""')","(1, '0.012*""would"" + 0.011*""like"" + 0.010*""need"" + 0.009*""private""')"
2,"(2, '0.030*""anyone"" + 0.016*""website"" + 0.016*""site"" + 0.016*""else""')","(2, '0.016*""want"" + 0.015*""site"" + 0.012*""need"" + 0.011*""work""')"
3,"(3, '0.062*""private"" + 0.031*""website"" + 0.024*""user"" + 0.024*""data""')","(3, '0.021*""private"" + 0.018*""site"" + 0.014*""like"" + 0.014*""want""')"
4,"(4, '0.021*""github"" + 0.021*""tool"" + 0.021*""management"" + 0.021*""meaningful""')","(4, '0.020*""amazon"" + 0.016*""aws"" + 0.016*""service"" + 0.014*""cloud""')"
5,"(5, '0.067*""privacy"" + 0.046*""policy"" + 0.024*""project"" + 0.023*""tos""')","(5, '0.011*""time"" + 0.010*""database"" + 0.009*""change"" + 0.008*""like""')"
6,"(6, '0.026*""page"" + 0.014*""database"" + 0.014*""web"" + 0.014*""best""')","(6, '0.023*""root"" + 0.015*""php"" + 0.012*""would"" + 0.012*""21""')"
7,"(7, '0.037*""way"" + 0.019*""question"" + 0.019*""web"" + 0.019*""forum""')","(7, '0.029*""user"" + 0.014*""data"" + 0.011*""private"" + 0.008*""app""')"
8,"(8, '0.038*""private"" + 0.026*""chat"" + 0.026*""webdev"" + 0.013*""code""')","(8, '0.017*""like"" + 0.013*""would"" + 0.012*""private"" + 0.011*""use""')"
9,"(9, '0.068*""private"" + 0.024*""solution"" + 0.023*""method"" + 0.013*""privacy""')","(9, '0.014*""private"" + 0.012*""want"" + 0.011*""website"" + 0.010*""var""')"
